title,year,genre,country,director,avg_vote,metascore,reviews_from_users,reviews_from_critics
La meglio gioventù,2003,"Drama, Romance",Italy,Marco Tullio Giordana,8.5,89.0,95.0,66.0
Eternal Sunshine of the Spotless Mind,2004,"Drama, Romance, Sci-Fi",USA,Michel Gondry,8.3,89.0,1701.0,287.0
Amélie,2001,"Comedy, Romance","France, Germany",Jean-Pierre Jeunet,8.3,69.0,1409.0,254.0
El secreto de sus ojos,2009,"Drama, Mystery, Romance","Argentina, Spain",Juan José Campanella,8.2,80.0,275.0,273.0
Faa yeung nin wa,2000,"Drama, Romance","Hong Kong, China",Kar-Wai Wong,8.1,85.0,391.0,142.0
Yi yi,2000,"Drama, Romance","Taiwan, Japan",Edward Yang,8.1,93.0,101.0,118.0
Tasogare Seibei,2002,"Drama, History, Romance",Japan,Yôji Yamada,8.1,82.0,105.0,93.0
Before Sunset,2004,"Drama, Romance","USA, France",Richard Linklater,8.0,90.0,519.0,236.0
Bom yeoreum gaeul gyeoul geurigo bom,2003,"Drama, Romance","South Korea, Germany",Ki-duk Kim,8.0,85.0,178.0,127.0
Bin-jip,2004,"Crime, Drama, Romance","South Korea, Japan",Ki-duk Kim,8.0,72.0,128.0,177.0
Slumdog Millionaire,2008,"Drama, Romance","UK, India","Danny Boyle, Loveleen Tandan",8.0,86.0,1102.0,426.0
Gegen die Wand,2004,"Drama, Romance","Germany, Turkey",Fatih Akin,7.9,78.0,87.0,126.0
Hable con ella,2002,"Drama, Mystery, Romance",Spain,Pedro Almodóvar,7.9,86.0,265.0,86.0
Låt den rätte komma in,2008,"Drama, Horror, Romance",Sweden,Tomas Alfredson,7.9,82.0,571.0,493.0
The Curious Case of Benjamin Button,2008,"Drama, Fantasy, Romance",USA,David Fincher,7.8,70.0,903.0,382.0
Atonement,2007,"Drama, Mystery, Romance","UK, France, USA",Joe Wright,7.8,85.0,630.0,327.0
Cast Away,2000,"Adventure, Drama, Romance",USA,Robert Zemeckis,7.8,73.0,1119.0,227.0
Mr. Nobody,2009,"Drama, Fantasy, Romance","Belgium, Germany, Canada, France, USA, UK",Jaco Van Dormael,7.8,63.0,368.0,132.0
Pride & Prejudice,2005,"Drama, Romance","France, UK, USA",Joe Wright,7.8,82.0,1113.0,174.0
Once,2007,"Drama, Music, Romance",Ireland,John Carney,7.8,88.0,350.0,241.0
Shelter,2007,"Drama, Romance, Sport",USA,Jonah Markowitz,7.7,66.0,89.0,31.0
(500) Days of Summer,2009,"Comedy, Drama, Romance",USA,Marc Webb,7.7,76.0,563.0,349.0
Dear Frankie,2004,"Drama, Romance",UK,Shona Auerbach,7.7,63.0,181.0,97.0
Brokeback Mountain,2005,"Drama, Romance","USA, Canada",Ang Lee,7.7,87.0,2307.0,298.0
Mies vailla menneisyyttä,2002,"Comedy, Drama, Romance","Finland, Germany, France",Aki Kaurismäki,7.7,84.0,118.0,106.0
Good Bye Lenin!,2003,"Comedy, Drama, Romance",Germany,Wolfgang Becker,7.7,68.0,239.0,158.0
Im Juli,2000,"Adventure, Comedy, Romance",Germany,Fatih Akin,7.7,71.0,50.0,34.0
Match Point,2005,"Drama, Romance, Thriller","UK, Ireland, Luxembourg",Woody Allen,7.6,72.0,764.0,271.0
The Great Debaters,2007,"Biography, Drama, Romance",USA,Denzel Washington,7.6,65.0,123.0,107.0
Ruang rak noi nid mahasan,2003,"Comedy, Drama, Romance","Thailand, Japan, Netherlands",Pen-Ek Ratanaruang,7.6,73.0,48.0,83.0
Un long dimanche de fiançailles,2004,"Drama, Mystery, Romance","France, USA",Jean-Pierre Jeunet,7.6,76.0,242.0,189.0
Dolls,2002,"Drama, Romance",Japan,Takeshi Kitano,7.6,71.0,60.0,97.0
Moulin Rouge!,2001,"Drama, Musical, Romance","Australia, USA",Baz Luhrmann,7.6,66.0,2322.0,193.0
A Single Man,2009,"Drama, Romance",USA,Tom Ford,7.6,77.0,270.0,300.0
