title,year,genre,country,director,avg_vote,metascore,reviews_from_users,reviews_from_critics
The Prestige,2006,"Drama, Mystery, Sci-Fi","USA, UK",Christopher Nolan,8.5,66.0,1285.0,368.0
Eternal Sunshine of the Spotless Mind,2004,"Drama, Romance, Sci-Fi",USA,Michel Gondry,8.3,89.0,1701.0,287.0
V for Vendetta,2005,"Action, Drama, Sci-Fi","USA, UK, Germany",James McTeigue,8.2,62.0,2148.0,241.0
Donnie Darko,2001,"Drama, Sci-Fi, Thriller",USA,Richard Kelly,8.0,88.0,2233.0,364.0
Iron Man,2008,"Action, Adventure, Sci-Fi",USA,Jon Favreau,7.9,79.0,1250.0,526.0
Star Trek,2009,"Action, Adventure, Sci-Fi","USA, Germany",J.J. Abrams,7.9,82.0,1620.0,539.0
District 9,2009,"Action, Sci-Fi, Thriller","South Africa, USA, New Zealand, Canada",Neill Blomkamp,7.9,81.0,1337.0,479.0
Moon,2009,"Drama, Mystery, Sci-Fi","UK, USA",Duncan Jones,7.9,67.0,580.0,438.0
Serenity,2005,"Action, Adventure, Sci-Fi",USA,Joss Whedon,7.8,74.0,1645.0,265.0
Batoru rowaiaru,2000,"Adventure, Drama, Sci-Fi",Japan,Kinji Fukasaku,7.6,81.0,630.0,201.0
28 Days Later...,2002,"Drama, Horror, Sci-Fi",UK,Danny Boyle,7.6,73.0,1470.0,245.0
