title,year,genre,country,director,avg_vote,metascore,reviews_from_users,reviews_from_critics
Star Wars: Episode V - The Empire Strikes Back,1980,"Action, Adventure, Fantasy",USA,Irvin Kershner,8.7,82.0,1098.0,204.0
Raiders of the Lost Ark,1981,"Action, Adventure",USA,Steven Spielberg,8.4,85.0,864.0,243.0
Aliens,1986,"Action, Adventure, Sci-Fi","USA, UK",James Cameron,8.4,84.0,1213.0,302.0
Ran,1985,"Action, Drama","Japan, France",Akira Kurosawa,8.2,96.0,262.0,155.0
Die Hard,1988,"Action, Thriller",USA,John McTiernan,8.2,72.0,840.0,283.0
Indiana Jones and the Last Crusade,1989,"Action, Adventure",USA,Steven Spielberg,8.2,65.0,527.0,160.0
Blade Runner,1982,"Action, Sci-Fi, Thriller","USA, Hong Kong, UK",Ridley Scott,8.1,89.0,1452.0,346.0
The Terminator,1984,"Action, Sci-Fi","UK, USA",James Cameron,8.0,84.0,818.0,221.0
Ghostbusters,1984,"Action, Comedy, Fantasy",USA,Ivan Reitman,7.8,71.0,532.0,250.0
Dip huet seung hung,1989,"Action, Crime, Drama",Hong Kong,John Woo,7.8,82.0,237.0,88.0
First Blood,1982,"Action, Adventure",USA,Ted Kotcheff,7.7,61.0,441.0,194.0
Star Trek II: The Wrath of Khan,1982,"Action, Adventure, Sci-Fi",USA,Nicholas Meyer,7.7,67.0,385.0,105.0
Mad Max 2,1981,"Action, Adventure, Sci-Fi",Australia,George Miller,7.6,77.0,336.0,197.0
Ging chaat goo si,1985,"Action, Comedy, Crime",Hong Kong,"Jackie Chan, Chi-Hwa Chen",7.6,78.0,96.0,90.0
Lethal Weapon,1987,"Action, Crime, Thriller",USA,Richard Donner,7.6,68.0,303.0,132.0
